,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year_month,친환경
68,등유,소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2020_07,비친환경
85,전기,소계,계,20003.0,4216.0,12454.0,3940.0,2962.0,3204.0,2119.0,1057.0,16508.0,3025.0,3268.0,4087.0,2848.0,4444.0,5192.0,4886.0,20105.0,114318.0,2020_07,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020_07,비친환경
136,CNG,소계,계,9374.0,2933.0,2560.0,2729.0,1361.0,1653.0,824.0,159.0,9116.0,726.0,736.0,593.0,1033.0,1038.0,1131.0,1667.0,9.0,37642.0,2020_07,비친환경
153,LNG,소계,계,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2020_07,비친환경
170,하이브리드(휘발유+전기),소계,계,100141.0,31886.0,28855.0,47560.0,14554.0,14687.0,11542.0,6316.0,158199.0,15081.0,15479.0,19742.0,15935.0,17057.0,22983.0,30716.0,14302.0,565035.0,2020_07,친환경
187,하이브리드(경유+전기),소계,계,438.0,381.0,266.0,992.0,46.0,47.0,33.0,15.0,466.0,43.0,145.0,55.0,72.0,57.0,43.0,113.0,55.0,3267.0,2020_07,친환경
204,하이브리드(LPG+전기),소계,계,1880.0,813.0,947.0,783.0,685.0,539.0,512.0,168.0,3924.0,707.0,716.0,767.0,849.0,899.0,1064.0,1086.0,338.0,16677.0,2020_07,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,39.0,26.0,0.0,46.0,27.0,79.0,0.0,3.0,0.0,9.0,0.0,31.0,1.0,0.0,327.0,2020_07,친환경
255,수소,소계,계,1112.0,778.0,35.0,375.0,607.0,380.0,1576.0,37.0,1134.0,608.0,226.0,386.0,216.0,24.0,13.0,790.0,1.0,8298.0,2020_07,친환경
272,기타연료,소계,계,6086.0,15279.0,3699.0,12133.0,3296.0,3158.0,4785.0,810.0,23796.0,3461.0,5534.0,7817.0,4475.0,8734.0,9479.0,7955.0,736.0,121233.0,2020_07,비친환경
289,총계,소계,계,3147149.0,1415199.0,1205069.0,1670275.0,687391.0,683138.0,573415.0,168535.0,5903746.0,799492.0,856237.0,1138897.0,941129.0,1079202.0,1463495.0,1752882.0,612325.0,24097576.0,2020_07,비친환경
