,연료별,시도별,합계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,year,month,Unnamed: 21,친환경
85,전기,소계,계,5545.0,1118.0,3026.0,783.0,725.0,458.0,462.0,226.0,3426.0,692.0,581.0,618.0,547.0,1419.0,1271.0,1361.0,10786.0,33044.0,2018,05,,친환경
102,알코올,소계,계,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,05,,비친환경
119,태양열,소계,계,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,05,,비친환경
136,CNG,소계,계,9686.0,3142.0,2669.0,2830.0,1485.0,1711.0,828.0,62.0,9179.0,895.0,723.0,597.0,1096.0,1089.0,1214.0,1828.0,11.0,39045.0,2018,05,,비친환경
153,LNG,소계,계,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2018,05,,비친환경
170,하이브리드(휘발유+전기),소계,계,63210.0,18956.0,17452.0,23192.0,8819.0,8566.0,6869.0,3098.0,90847.0,9112.0,9050.0,12067.0,9627.0,9751.0,14207.0,18776.0,7163.0,330762.0,2018,05,,친환경
187,하이브리드(경유+전기),소계,계,25.0,16.0,21.0,8.0,2.0,4.0,0.0,3.0,24.0,0.0,3.0,2.0,2.0,1.0,1.0,15.0,0.0,127.0,2018,05,,친환경
204,하이브리드(LPG+전기),소계,계,2074.0,917.0,1025.0,876.0,732.0,589.0,561.0,180.0,4122.0,753.0,711.0,789.0,847.0,932.0,1106.0,1141.0,323.0,17678.0,2018,05,,친환경
221,하이브리드(CNG+전기),소계,계,51.0,2.0,13.0,34.0,20.0,0.0,39.0,27.0,69.0,0.0,3.0,0.0,9.0,0.0,10.0,1.0,0.0,278.0,2018,05,,친환경
238,하이브리드(LNG+전기),소계,계,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,05,,친환경
